"LEVEL_ID","UNIT_ID","CODE","P_IDENT","Catalog_ID","S_NYSM_NUM","U_TYPE","U_LBL","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","IDENTIFY","BEGDATE","ENDDATE","N","zN","comp.grp","art.grp"
1885,452,"CBG","PIN 1BOW.27.101",5727,12644,"EU","10","1",3.75,14,"Domestic","Glass","Glass Vessel","Bottle Glass","clear bottle glass",NA,NA,3,1.29727669726558,"3","1"
1885,452,"AFG","PIN 1BOW.27.101",5726,12644,"EU","10","1",3.75,14,"Architectural","Glass","Flat Glass","Flat Glass","aqua flat glass",NA,NA,3,0.680381260975845,"3","2"
1885,452,"MCN","PIN 1BOW.27.101",5720,12644,"EU","10","1",3.75,14,"Architectural","Metal","Architectural Hardware","Cut Nail","machine cut nail",1835,1880,2,0.152554014279295,"3","2"
1885,452,"OMO","PIN 1BOW.27.101",5718,12644,"EU","10","1",3.75,14,"Architectural","Ceramics","Brick","Mortar/Plaster","mortar",NA,NA,8,0.607217101225972,"3","2"
1885,452,"UIS","PIN 1BOW.27.101",5721,12644,"EU","10","1",3.75,14,"Other","Metal","Unidentified","Ferrous","unidentified iron/steel",NA,NA,1,0.251871127977214,"3","1"
1885,452,"ABG","PIN 1BOW.27.101",5725,12644,"EU","10","1",3.75,14,"Domestic","Glass","Glass Vessel","Bottle Glass","aqua bottle glass",NA,NA,1,0.925820099772551,"3","1"
1885,452,"MBG","PIN 1BOW.27.101",5723,12644,"EU","10","1",3.75,14,"Domestic","Glass","Glass Vessel","Bottle Glass","brown bottle glass",NA,NA,2,0.387112267670478,"3","1"
1885,452,"ASP","PIN 1BOW.27.101",5719,12644,"EU","10","1",3.75,14,"Architectural","Other","Debris","Asphalt","asphalt pavement frag",NA,NA,1,0.384110639798688,"3","1"
1907,459,"PLAS","PIN 1BOW.27.101",6079,12644,"EU","14","1",0,8,"Other","Other","Plastic","Plastic","unidentified plastic",NA,NA,2,1.30088727117598,"1","1"
1907,459,"XI","PIN 1BOW.27.101",6081,12644,"EU","14","1",0,8,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","undecorated ironstone/whiteware",1820,1950,1,0.25723003496169,"1","2"
1907,459,"OCI","PIN 1BOW.27.101",6080,12644,"EU","14","1",0,8,"Domestic","Other","Debris","Coal","cinder",NA,NA,1,0.168454280132302,"1","1"
1907,459,"FOAM","PIN 1BOW.27.101",6082,12644,"EU","14","1",0,8,"Other","Other","Plastic","Plastic","other foam",NA,NA,5,0.816496580927726,"1","1"
1909,459,"BEI","PIN 1BOW.27.101",6111,12644,"EU","14","3",37,75.4,"Domestic","Ceramics","Sherd","Ironstone/Whiteware","blue edge-decorated ironstone/whiteware",1830,1860,1,0.451753951452626,"2","2"
1909,459,"UIS","PIN 1BOW.27.101",6114,12644,"EU","14","3",37,75.4,"Other","Metal","Unidentified","Ferrous","unidentified iron/steel",NA,NA,8,2.01496902381771,"2","1"
1909,459,"MSK","PIN 1BOW.27.101",6110,12644,"EU","14","3",37,75.4,"Domestic","Ceramics","Pipe","Kaolin Pipe","Kaolin pipe stem frag, 4/64 in. bore",NA,NA,1,0.707106781186547,"2","2"
1909,459,"UCN","PIN 1BOW.27.101",6115,12644,"EU","14","3",37,75.4,"Architectural","Metal","Architectural Hardware","Cut Nail","unidentified cut nail",1790,1880,11,2.81105688599974,"2","2"
1909,459,"CS","PIN 1BOW.27.101",6106,12644,"EU","14","3",37,75.4,"Other","Shell","Refuse/Unmodified","Clam Shell","clam shell",NA,NA,1,0.296174438879546,"2","2"
1909,459,"LGFG","PIN 1BOW.27.101",6108,12644,"EU","14","3",37,75.4,"Architectural","Glass","Flat Glass","Flat Glass","light green flat glass (not 18th century)",NA,NA,50,1.68358757425368,"2","1"
