"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",1984,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Tableware","CPTG","clear table glass, pressed",,,2
"1BOW.27.101",1983,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Tableware","CTG","clear table glass",,,1
"1BOW.27.101",1985,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Curved Glass","CCG","clear curved glass",,,1
"1BOW.27.101",1800,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Glass","Glass Vessel","Curved Glass","CCG","clear curved glass",,,2
"1BOW.27.101",1981,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Curved Glass","CVCG","clear curved glass with amethyst tint due to sun exposure","1880s","late 1910s",1
"1BOW.27.101",1988,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","ABG","aqua bottle glass",,,2
"1BOW.27.101",4453,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Domestic","Glass","Glass Vessel","Bottle Glass","CBG","clear bottle glass",,,2
"1BOW.27.101",1797,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Glass","Glass Vessel","Bottle Glass","CBG","clear bottle glass",,,1
"1BOW.27.101",1982,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","CBG","clear bottle glass",,,4
"1BOW.27.101",4450,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Domestic","Glass","Glass Vessel","Bottle Glass","GBG","green bottle glass",,,1
"1BOW.27.101",1987,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","GBG","green bottle glass",,,1
"1BOW.27.101",1799,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Glass","Glass Vessel","Bottle Glass","MBG","brown bottle glass",,,1
"1BOW.27.101",1978,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","MBG","brown bottle glass",,,3
"1BOW.27.101",1979,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","NBG","amber bottle glass",,,1
"1BOW.27.101",1980,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Glass","Glass Vessel","Bottle Glass","OBG","olive-green bottle glass",,,3
"1BOW.27.101",1991,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Other","Mineral/Other","Other Mineral","Fossil","FOSS","fossil",,,1
"1BOW.27.101",1806,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Other","Debris","Coal","OCI","cinder",,,22
"1BOW.27.101",1998,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Other","Debris","Coal","OCI","cinder",,,12
"1BOW.27.101",1999,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Other","Debris","Coal","OCO","coal",,,4
"1BOW.27.101",1805,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Other","Debris","Coal","OCO","coal",,,13
"1BOW.27.101",2000,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Domestic","Other","Debris","Coal","OSL","slag",,,2
"1BOW.27.101",1804,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Other","Debris","Coal","OSL","slag",,,11
"1BOW.27.101",1809,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Architectural","Other","Debris","Tar","TARP","tarpaper",,,13
"1BOW.27.101",1996,"12645",463,1.00,546394.12,4685588.85,"EU","01",1726,"2",11.80,37.20,"Architectural","Other","Debris","Tar","TARP","tarpaper",,,9
"1BOW.27.101",4443,"12644",438,0.49,546407.42,4685644.27,"EU","01",1848,"1",9.00,18.25,"Domestic","Other","Plastic","Plastic","STY","Styrofoam","1954",,4
"1BOW.27.101",1801,"12645",463,1.00,546394.12,4685588.85,"EU","01",1725,"1",5.20,11.80,"Domestic","Other","Rubber","Rubber","ORUB","other rubber",,,1
"1BOW.00.101",1688,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,1
"1BOW.00.101",1750,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,2
"1BOW.00.101",1687,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,1
"1BOW.00.101",1685,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,3
"1BOW.00.101",1742,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,2
"1BOW.00.101",1745,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,2
"1BOW.00.101",1748,"12645",228,0.99,546386.50,4685603.49,"EU","1",1307,"2",17.80,54.40,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,2
"1BOW.00.101",1686,"12645",228,0.99,546386.50,4685603.49,"EU","1",1306,"1",7.40,17.80,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",,,1
