"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"MXWR",7,"Metal",3,"Architectural Hardware",1,"Wrought Nail",98,"wrought nail with other material attached",NA,1820
"MXWS",5,"Shell",3,"Worked",99,"Other Worked Shell",98,"worked shell with other material attached",NA,NA
"MXWT",4,"Bone/Antler",2,"Tool",99,"Other Worked Tool",98,"worked bone/antler tool with other material attached",NA,NA
"NBG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",1,"amber bottle glass",NA,NA
"NBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",20,"decorated Kaolin pipe bowl/stem frag, 5/64 in. bore",NA,NA
"NCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",1,"amber curved glass",NA,NA
"NETS",3,"Ground or Rough Stone",1,"Rough Tool",6,"Netsinker",0,"netsinker",NA,NA
"NSK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",5,"Kaolin pipe stem frag, 5/64 in. bore",NA,NA
"NUT",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",19,"nut (metal hardware)",NA,NA
"NYLO",13,"Other",2,"Fabric",3,"Nylon",0,"nylon",NA,NA
"OAMT",7,"Metal",3,"Architectural Hardware",99,"Other Architectural Metal",99,"other architectural metal",NA,NA
"OANT",4,"Bone/Antler",6,"Other Worked Object",97,"Other Antler",97,"other worked antler",NA,NA
"OAR",8,"Ceramics",6,"Architectural Ceramic",3,"Redware",99,"other architectural redware",NA,NA
"OASP",13,"Other",1,"Debris",1,"Asphalt",99,"other asphalt object/frag",NA,NA
"OAUT",7,"Metal",6,"Domestic/Activity",2,"Automotive",99,"other automotive metal",NA,NA
"OBG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",14,"olive-green bottle glass",NA,NA
"OBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",21,"decorated Kaolin pipe bowl/stem frag, 6/64 in. bore",NA,NA
"OBLK",7,"Metal",7,"Metallurgy",1,"Blacksmithing",99,"other blacksmithing metal",NA,NA
"OBM",8,"Ceramics",5,"Brick",1,"Brick",2,"machine-made brick",NA,NA
"OBMA",6,"Botanical",1,"Manufactured Object",99,"Other Manufactured Object",99,"other manufactured botanical object",NA,NA
"OBON",4,"Bone/Antler",6,"Other Worked Object",99,"Other Bone",99,"other worked bone",NA,NA
"OBOT",6,"Botanical",5,"Other",99,"Other Botanical",99,"other botanical",NA,NA
"OBPR",4,"Bone/Antler",3,"Personal Item",99,"Other Personal Item",99,"other bone/antler personal item",NA,NA
"OBR",8,"Ceramics",5,"Brick",1,"Brick",97,"unidentified brick",NA,NA
"OBS",8,"Ceramics",2,"Sherd",12,"Stoneware",14,"buff salt-glazed stoneware, brown slip",1820,1900
"OBWO",6,"Botanical",4,"Worked",98,"Other Worked Botanical",99,"other worked botanical object",NA,NA
"OCAN",7,"Metal",6,"Domestic/Activity",5,"Cans",99,"other can-related metal object",NA,NA
"OCAR",9,"Glass",6,"Other Glass",5,"Automotive Glass",99,"other automotive glass",NA,NA
"OCE",13,"Other",1,"Debris",2,"Cement",0,"cement frag",NA,NA
"OCER",8,"Ceramics",2,"Sherd",99,"Other Ceramic",99,"other ceramic tableware",NA,NA
"OCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",12,"olive-green curved glass",NA,NA
"OCH",6,"Botanical",2,"Sample",2,"Charcoal",0,"charcoal",NA,NA
"OCI",13,"Other",1,"Debris",3,"Coal",1,"cinder",NA,NA
"OCMT",7,"Metal",2,"Personal Item",2,"Clothing Related",99,"other clothing-related metal object",NA,NA
"OCN",7,"Metal",3,"Architectural Hardware",2,"Cut Nail",99,"other cut nail",1835,1880
"OCO",13,"Other",1,"Debris",3,"Coal",2,"coal",NA,NA
"OCOO",7,"Metal",6,"Domestic/Activity",10,"Cookware",99,"other cookware",NA,NA
"OCOR",6,"Botanical",4,"Worked",8,"Cork",1,"other worked cork",NA,NA
"OCS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",8,"combed brown slip-decorated redware",1770,1830
"OCTG",9,"Glass",4,"Glass Vessel",1,"Tableware",9,"colored table glass, cut",NA,NA
"OCTN",7,"Metal",6,"Domestic/Activity",9,"Containers",99,"other container",NA,NA
"OCUT",7,"Metal",6,"Domestic/Activity",11,"Cutlery",98,"other cutlery",NA,NA
"ODEB",13,"Other",1,"Debris",99,"Other Debris",99,"other debris",NA,NA
"ODF",8,"Ceramics",2,"Sherd",13,"Tin-Glazed Ware",99,"other delftware",NA,NA
"ODMT",7,"Metal",6,"Domestic/Activity",99,"Other Domestic/Activity Metal",99,"other domestic/activity-related metal object",NA,NA
"ODWE",8,"Ceramics",2,"Sherd",15,"White Earthenware",96,"other decorated unidentified white earthenware",NA,NA
"OEZ",8,"Ceramics",2,"Sherd",6,"Porcelain",8,"overglaze enameled China trade porcelain",1790,1825
"OFAB",13,"Other",2,"Fabric",99,"Other Fabric",99,"other fabric",NA,NA
"OFB",8,"Ceramics",2,"Sherd",12,"Stoneware",6,"brown-glazed fine brown stoneware",NA,NA
"OFI",8,"Ceramics",2,"Sherd",16,"Whiteware",8,"flow brown whiteware",1835,1870
"OFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",3,"brown-glazed fine red stoneware",NA,NA
"OFRE",8,"Ceramics",2,"Sherd",7,"Red Earthenware",99,"other fine red earthenware",NA,NA
"OFST",3,"Ground or Rough Stone",2,"Fine Tool",99,"Other Fine Tool",99,"other fine stone tool",NA,NA
"OFUR",7,"Metal",6,"Domestic/Activity",15,"Furniture Hardware",99,"furniture hardware",NA,NA
"OG",9,"Glass",6,"Other Glass",99,"Other Glass",99,"other glass",NA,NA
"OGAR",9,"Glass",6,"Other Glass",8,"Architectural",99,"other architectural glass",NA,NA
"OGDO",9,"Glass",6,"Other Glass",9,"Domestic/Activity",99,"other domestic/activity glass",NA,NA
"OGR",8,"Ceramics",2,"Sherd",9,"Redware",4,"brown-glazed redware",NA,NA
"OGS",8,"Ceramics",2,"Sherd",12,"Stoneware",36,"grey salt-glazed stoneware, brown slip",NA,NA
"OGUN",7,"Metal",5,"Arms/Military",1,"Guns/Bullets",99,"other gun/bullets related metal",NA,NA
"OHMT",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",99,"other hardware",NA,NA
"OKAO",8,"Ceramics",3,"Non-Tableware Ceramic",12,"Other Kaolin Object",97,"other kaolin object",NA,NA
"OKIT",7,"Metal",6,"Domestic/Activity",11,"Cutlery",99,"other kitchen utensil",NA,NA
"OLET",13,"Other",3,"Leather",1,"Belt/Harness",99,"other leather belt/harness",NA,NA
"OLLT",9,"Glass",6,"Other Glass",5,"Automotive Glass",5,"orange automotive light cover",NA,NA
"OM",7,"Metal",1,"Unidentified",99,"Other Metal",99,"other metal",NA,NA
"OMAR",3,"Ground or Rough Stone",99,"Other Modified Stone",1,"Marble",2,"other marble frag",NA,NA
"OMIL",7,"Metal",5,"Arms/Military",99,"Other Arms/Military",99,"other arms/military metal",NA,NA
"OMIN",11,"Mineral/Other",4,"Other Mineral",99,"Other Mineral",99,"other mineral",NA,NA
"OMMT",7,"Metal",6,"Domestic/Activity",99,"Other Domestic/Activity Metal",97,"other machinery metal object",NA,NA
"OMO",8,"Ceramics",5,"Brick",2,"Mortar/Plaster",1,"mortar",NA,NA
"OMUS",7,"Metal",2,"Personal Item",6,"Musical Instrument",99,"other metal musical instrument",NA,NA
"ON",7,"Metal",3,"Architectural Hardware",4,"Other Nail",99,"other nail",NA,NA
"ONTC",8,"Ceramics",3,"Non-Tableware Ceramic",99,"Other Non-Tableware Ceramic",99,"other non-tableware ceramic",NA,NA
"OOLS",13,"Other",6,"Other Organic",99,"Other Organic",97,"other organic liquid sample",NA,NA
"OORG",13,"Other",6,"Other Organic",99,"Other Organic",99,"other organic",NA,NA
"OOS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",4,"brown & yellow slip-trail decorated redware",1770,1830
"OOSW",8,"Ceramics",2,"Sherd",12,"Stoneware",3,"brown salt-glazed stoneware, brown slip",1820,1900
"OPC",8,"Ceramics",2,"Sherd",3,"Creamware",8,"overglaze enameled polychrome creamware",1765,1810
"OPL",8,"Ceramics",5,"Brick",2,"Mortar/Plaster",2,"plaster",NA,NA
"OPLA",13,"Other",4,"Plastic",8,"Plastic",99,"other plastic",NA,NA
