"CODE","MATERIAL","MATNAME","ARTIFACT","TYPENAME","CATEGORY","CATNAME","SUBCAT","IDENTIFY","BEGDATE","ENDDATE"
"UXSH",7,"Metal",6,"Domestic/Activity",16,"Horse/Ox/Mule Equipment",97,"unidentified animal shoe",NA,NA
"VBG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",2,"amethyst bottle glass",1880,1914
"VCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",2,"amethyst curved glass",1840,1914
"VFG",9,"Glass",1,"Flat Glass",1,"Flat Glass",1,"amethyst flat glass",NA,NA
"VLG",9,"Glass",6,"Other Glass",1,"Lamp Glass",3,"amethyst lamp glass",1880,1914
"VTG",9,"Glass",4,"Glass Vessel",1,"Tableware",8,"colored table glass, amethyst",1840,1918
"VYNL",13,"Other",4,"Plastic",8,"Plastic",50,"vinyl plastic piece",NA,NA
"WAG",7,"Metal",6,"Domestic/Activity",13,"Farm Implements",3,"wagon parts",NA,NA
"WAMP",5,"Shell",4,"Wampum",1,"Wampum",1,"finished wampum",NA,NA
"WAS",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",32,"washer",NA,NA
"WAST",8,"Ceramics",3,"Non-Tableware Ceramic",1,"Kiln Furniture",2,"ceramic wasters",NA,NA
"WATC",7,"Metal",2,"Personal Item",9,"Watch",1,"watch part",NA,NA
"WB",6,"Botanical",4,"Worked",3,"Button",0,"wood button",NA,NA
"WEDG",8,"Ceramics",2,"Sherd",12,"Stoneware",43,"Wedgwood Jasper style stoneware",1775,NA
"WGII",8,"Ceramics",2,"Sherd",4,"Ironstone",4,"white granite ironstone",1840,1880
"WGS",8,"Ceramics",2,"Sherd",12,"Stoneware",10,"buff bodied stoneware, white ext., brown slip interior",1820,1900
"WHET",3,"Ground or Rough Stone",2,"Fine Tool",12,"Whetstone",0,"whetstone",NA,NA
"WIRE",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",34,"wire",NA,NA
"WLAT",7,"Metal",3,"Architectural Hardware",5,"Other Hardware",33,"window latch/lock",NA,NA
"WOOD",6,"Botanical",2,"Sample",9,"Wood",0,"wood frag",NA,NA
"WPUT",13,"Other",1,"Debris",10,"Putty",1,"window putty",NA,NA
"WRAP",7,"Metal",6,"Domestic/Activity",1,"Aluminum",2,"aluminum foil wrapper frag",NA,NA
"WSLT",3,"Ground or Rough Stone",98,"Other Worked Stone",1,"Slate",0,"worked slate",NA,NA
"WSTN",3,"Ground or Rough Stone",98,"Other Worked Stone",99,"Other Worked Stone",97,"other worked stone",NA,NA
"WTI",8,"Ceramics",2,"Sherd",16,"Whiteware",28,"willow pattern transfer-printed whiteware",1825,1840
"WTP",8,"Ceramics",2,"Sherd",5,"Pearlware",20,"willow pattern transfer-printed pearlware",1795,1840
"WUS",8,"Ceramics",2,"Sherd",12,"Stoneware",41,"grey salt-glazed Westerwald stoneware",1700,1775
"WWC",8,"Ceramics",2,"Sherd",3,"Creamware",14,"Whieldon ware",1740,1780
"XB",8,"Ceramics",2,"Sherd",2,"Buff Earthenware",1,"undecorated buff earthenware",1830,1940
"XBK",8,"Ceramics",4,"Pipe",1,"Kaolin Pipe",1,"undecorated Kaolin pipe bowl frag",NA,NA
"XBS",8,"Ceramics",2,"Sherd",12,"Stoneware",18,"buff salt-glazed stoneware, unslipped",1820,1900
"XC",8,"Ceramics",2,"Sherd",3,"Creamware",1,"undecorated creamware",1762,1820
"XDC",8,"Ceramics",2,"Sherd",3,"Creamware",12,"undecorated deeper yellow creamware",1762,1820
"XDF",8,"Ceramics",2,"Sherd",13,"Tin-Glazed Ware",1,"undecorated delftware",1640,1800
"XFB",8,"Ceramics",2,"Sherd",12,"Stoneware",25,"fine brown stoneware, unglazed",1690,1775
"XFR",8,"Ceramics",2,"Sherd",8,"Red Stoneware",1,"unglazed fine red stoneware",1690,1775
"XGR",8,"Ceramics",2,"Sherd",9,"Redware",1,"unglazed redware",NA,NA
"XGS",8,"Ceramics",2,"Sherd",12,"Stoneware",40,"grey salt-glazed stoneware, unslipped",NA,NA
"XI",8,"Ceramics",2,"Sherd",16,"Whiteware",1,"undecorated whiteware",1820,1950
"XII",8,"Ceramics",2,"Sherd",4,"Ironstone",0,"undecorated ironstone",1813,1885
"XLC",8,"Ceramics",2,"Sherd",3,"Creamware",13,"undecorated lighter yellow creamware",1775,1820
"XMAG",11,"Mineral/Other",3,"Magnet",0,"Magnet",1,"magnet with other material attached",NA,NA
"XOSW",8,"Ceramics",2,"Sherd",12,"Stoneware",5,"brown salt-glazed stoneware, unslipped",1820,1900
"XP",8,"Ceramics",2,"Sherd",5,"Pearlware",1,"undecorated pearlware",1780,1830
"XPRL",5,"Shell",5,"Pearl",4,"Other Pearl",0,"pearl with other material attached",NA,NA
"XRP",8,"Ceramics",4,"Pipe",2,"Red Clay Pipe",1,"undecorated red clay pipe frag",NA,NA
"XRUB",13,"Other",5,"Rubber",11,"Rubber",98,"rubber with other material attached",NA,NA
"XSV",8,"Ceramics",2,"Sherd",10,"Semi-Vitreous China",1,"undecorated semi-vitreous china",1880,1970
"XTAP",13,"Other",4,"Plastic",9,"Tape",6,"tape with other material attached",NA,NA
"XTGW",8,"Ceramics",2,"Sherd",13,"Tin-Glazed Ware",8,"undecorated tin-glazed ware",NA,NA
"XTW",8,"Ceramics",2,"Sherd",14,"Transitional Whiteware",1,"undecorated transitional whiteware",1820,1850
"XTWE",8,"Ceramics",2,"Sherd",15,"White Earthenware",95,"transitional refined white earthenware",NA,NA
"XUS",8,"Ceramics",2,"Sherd",12,"Stoneware",33,"grey salt-glazed blue decorated stoneware, unslipped",NA,NA
"XWS",8,"Ceramics",2,"Sherd",12,"Stoneware",44,"white salt-glazed stoneware",1720,1780
"XY",8,"Ceramics",2,"Sherd",17,"Yellowware",1,"undecorated yellowware",1830,1940
"XZ",8,"Ceramics",2,"Sherd",6,"Porcelain",11,"undecorated Chinese porcelain",1660,1890
"YBE",8,"Ceramics",2,"Sherd",2,"Buff Earthenware",7,"yellow lead-glazed buff earthenware",1670,1795
"YBG",9,"Glass",4,"Glass Vessel",3,"Bottle Glass",15,"yellow bottle glass",NA,NA
"YBR",8,"Ceramics",5,"Brick",1,"Brick",3,"yellow brick",NA,NA
"YCG",9,"Glass",4,"Glass Vessel",2,"Curved Glass",15,"yellow curved glass",NA,NA
"YGI",8,"Ceramics",2,"Sherd",16,"Whiteware",29,"yellow-glazed whiteware",NA,NA
"YGR",8,"Ceramics",2,"Sherd",9,"Redware",10,"yellow-glazed redware",NA,NA
"YLLT",9,"Glass",6,"Other Glass",5,"Automotive Glass",4,"yellow automotive light cover",NA,NA
"YS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",16,"yellow glazed slip-decorated redware",1770,1830
"YSR",8,"Ceramics",2,"Sherd",9,"Redware",8,"mottled or spotted yellow-glazed redware",NA,NA
"YTI",8,"Ceramics",2,"Sherd",16,"Whiteware",19,"yellow transfer-printed whiteware",NA,NA
"YTS",8,"Ceramics",2,"Sherd",11,"Slip-Decorated Redware",17,"yellow slip-trail decorated redware",1770,1830
"ZIP",7,"Metal",2,"Personal Item",2,"Clothing Related",7,"zipper",NA,NA
