"P_IDENT","Catalog_ID","S_NYSM_NUM","UNIT_ID","Shape_Area","POINT_X","POINT_Y","U_TYPE","U_LBL","LEVEL_ID","L_STRAT","START","END","Assemblage","MATNAME","TYPENAME","CATNAME","CODE","IDENTIFY","BEGDATE","ENDDATE","N"
"1BOW.27.101",1999,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Other","Debris","Coal","OCO","coal",NA,NA,4
"1BOW.27.101",1805,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Other","Debris","Coal","OCO","coal",NA,NA,13
"1BOW.27.101",2000,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Domestic","Other","Debris","Coal","OSL","slag",NA,NA,2
"1BOW.27.101",1804,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Other","Debris","Coal","OSL","slag",NA,NA,11
"1BOW.27.101",1809,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Architectural","Other","Debris","Tar","TARP","tarpaper",NA,NA,13
"1BOW.27.101",1996,12645,463,1,546394.12,4685588.85,"EU","01",1726,"2",11.8,37.2,"Architectural","Other","Debris","Tar","TARP","tarpaper",NA,NA,9
"1BOW.27.101",1801,12645,463,1,546394.12,4685588.85,"EU","01",1725,"1",5.2,11.8,"Domestic","Other","Rubber","Rubber","ORUB","other rubber",NA,NA,1
"1BOW.00.101",1688,12645,228,0.99,546386.5,4685603.49,"EU","1",1306,"1",7.4,17.8,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",NA,NA,1
"1BOW.00.101",1750,12645,228,0.99,546386.5,4685603.49,"EU","1",1307,"2",17.8,54.4,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",NA,NA,2
"1BOW.00.101",1687,12645,228,0.99,546386.5,4685603.49,"EU","1",1306,"1",7.4,17.8,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",NA,NA,1
"1BOW.00.101",1685,12645,228,0.99,546386.5,4685603.49,"EU","1",1306,"1",7.4,17.8,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",NA,NA,3
"1BOW.00.101",1742,12645,228,0.99,546386.5,4685603.49,"EU","1",1307,"2",17.8,54.4,"Native","Chipped Stone","Projectile Point","Whole Projectile Point","PPT","whole projectile point",NA,NA,2
